edge_abs,unfillable_rate,axis,model,horizon_min,rel_spread_t
0.0,0.011034983244754647,edge_decile,ridge,5,
1.0,0.009071311177989797,edge_decile,ridge,5,
2.0,0.008772491515656016,edge_decile,ridge,5,
3.0,0.008110992529348986,edge_decile,ridge,5,
4.0,0.008687299893276414,edge_decile,ridge,5,
5.0,0.007513180081535079,edge_decile,ridge,5,
6.0,0.0077694770544290285,edge_decile,ridge,5,
7.0,0.007214360419201297,edge_decile,ridge,5,
8.0,0.005997865528281751,edge_decile,ridge,5,
9.0,0.004973212951697936,edge_decile,ridge,5,
,0.000761743546339399,spread_decile,ridge,5,0.0
,0.00025799238922451787,spread_decile,ridge,5,1.0
,0.000272805489685854,spread_decile,ridge,5,2.0
,0.0003609495095333135,spread_decile,ridge,5,3.0
,0.0005245443021375181,spread_decile,ridge,5,4.0
,0.0002771234585007621,spread_decile,ridge,5,5.0
,0.00037803213273128217,spread_decile,ridge,5,6.0
,0.0004653917752580809,spread_decile,ridge,5,7.0
,0.0016465648540731899,spread_decile,ridge,5,8.0
,0.08629088378566457,spread_decile,ridge,5,9.0
0.0,0.009885834555775241,edge_decile,lgbm,5,
1.0,0.00851484517013745,edge_decile,lgbm,5,
2.0,0.009184552093631407,edge_decile,lgbm,5,
3.0,0.009662914181841375,edge_decile,lgbm,5,
4.0,0.009949931434767356,edge_decile,lgbm,5,
5.0,0.01017316707593201,edge_decile,lgbm,5,
6.0,0.011353126893516599,edge_decile,lgbm,5,
7.0,0.013043339605191823,edge_decile,lgbm,5,
8.0,0.014223299422776413,edge_decile,lgbm,5,
9.0,0.014733552316867047,edge_decile,lgbm,5,
,0.001178343949044586,spread_decile,lgbm,5,0.0
,0.0003193051919024203,spread_decile,lgbm,5,1.0
,0.00025108279455150333,spread_decile,lgbm,5,2.0
,0.000605944635795382,spread_decile,lgbm,5,3.0
,0.00028206976525527313,spread_decile,lgbm,5,4.0
,0.00027542308045414206,spread_decile,lgbm,5,5.0
,0.0005391861460877287,spread_decile,lgbm,5,6.0
,0.0006618133686300463,spread_decile,lgbm,5,7.0
,0.062132380314198495,spread_decile,lgbm,5,8.0
,0.0,spread_decile,lgbm,5,9.0
0.0,0.009542040082368978,edge_decile,tcn,5,
1.0,0.00835291046724093,edge_decile,tcn,5,
2.0,0.009107256801438599,edge_decile,tcn,5,
3.0,0.009135995823544766,edge_decile,tcn,5,
4.0,0.008527176750391554,edge_decile,tcn,5,
5.0,0.008381913628585516,edge_decile,tcn,5,
6.0,0.009861360867799757,edge_decile,tcn,5,
7.0,0.009542040082368978,edge_decile,tcn,5,
8.0,0.010528452926503857,edge_decile,tcn,5,
9.0,0.00826590098320717,edge_decile,tcn,5,
,0.0010439624173529754,spread_decile,tcn,5,0.0
,0.0004269247189412267,spread_decile,tcn,5,1.0
,0.0004588208304657031,spread_decile,tcn,5,2.0
,0.00043032963249849387,spread_decile,tcn,5,3.0
,0.0005795253687230159,spread_decile,tcn,5,4.0
,0.0004366557987890079,spread_decile,tcn,5,5.0
,0.00047778308647873863,spread_decile,tcn,5,6.0
,0.0004963648573680983,spread_decile,tcn,5,7.0
,0.0019395866454689984,spread_decile,tcn,5,8.0
,0.08833805192458286,spread_decile,tcn,5,9.0
0.0,0.02546872888065033,edge_decile,ridge,15,
1.0,0.022920367652738086,edge_decile,ridge,15,
2.0,0.019927396308025026,edge_decile,ridge,15,
3.0,0.018440565381941762,edge_decile,ridge,15,
4.0,0.01596895033598517,edge_decile,ridge,15,
5.0,0.015659998455240597,edge_decile,ridge,15,
6.0,0.013458716304935506,edge_decile,ridge,15,
7.0,0.010504363945315518,edge_decile,ridge,15,
8.0,0.0071638217347648105,edge_decile,ridge,15,
9.0,0.0037266601015659697,edge_decile,ridge,15,
,0.0008816820961033484,spread_decile,ridge,15,0.0
,0.000212700131487354,spread_decile,ridge,15,1.0
,0.0002468995118986572,spread_decile,ridge,15,2.0
,0.00021424119663446557,spread_decile,ridge,15,3.0
,0.0009025270758122744,spread_decile,ridge,15,4.0
,0.0005157987238757499,spread_decile,ridge,15,5.0
,0.0006840725116862387,spread_decile,ridge,15,6.0
,0.00047050852561448414,spread_decile,ridge,15,7.0
,0.004190919674039581,spread_decile,ridge,15,8.0
,0.17459354808611882,spread_decile,ridge,15,9.0
0.0,0.018568559882985843,edge_decile,lgbm,15,
1.0,0.020527568425228085,edge_decile,lgbm,15,
2.0,0.02186632288774296,edge_decile,lgbm,15,
3.0,0.018445061483538278,edge_decile,lgbm,15,
4.0,0.019858191193970646,edge_decile,lgbm,15,
5.0,0.019411939706465688,edge_decile,lgbm,15,
6.0,0.020626735422451407,edge_decile,lgbm,15,
7.0,0.02042840142800476,edge_decile,lgbm,15,
8.0,0.020056525188417294,edge_decile,lgbm,15,
9.0,0.014899471948831098,edge_decile,lgbm,15,
,0.0011789845995136689,spread_decile,lgbm,15,0.0
,0.0003226527015958899,spread_decile,lgbm,15,1.0
,0.0003704161007531794,spread_decile,lgbm,15,2.0
,0.0007481483328761316,spread_decile,lgbm,15,3.0
,0.0008409388835299646,spread_decile,lgbm,15,4.0
,0.0006681257919594517,spread_decile,lgbm,15,5.0
,0.0006072607260726073,spread_decile,lgbm,15,6.0
,0.0010379500486539085,spread_decile,lgbm,15,7.0
,0.10315900744013336,spread_decile,lgbm,15,8.0
,0.05263157894736842,spread_decile,lgbm,15,9.0
0.0,0.022504621072088726,edge_decile,tcn,15,
1.0,0.020841035120147875,edge_decile,tcn,15,
2.0,0.020217657524434482,edge_decile,tcn,15,
3.0,0.017097966728280962,edge_decile,tcn,15,
4.0,0.01605859654797939,edge_decile,tcn,15,
5.0,0.014510166358595195,edge_decile,tcn,15,
6.0,0.01561958455602024,edge_decile,tcn,15,
7.0,0.014417744916820702,edge_decile,tcn,15,
8.0,0.013840430693870006,edge_decile,tcn,15,
9.0,0.00656192236598891,edge_decile,tcn,15,
,0.0010286654779865588,spread_decile,tcn,15,0.0
,0.00023256895669566027,spread_decile,tcn,15,1.0
,0.0002687449610319806,spread_decile,tcn,15,2.0
,0.0002795638803466592,spread_decile,tcn,15,3.0
,0.0010378337579016888,spread_decile,tcn,15,4.0
,0.0005801087166706056,spread_decile,tcn,15,5.0
,0.0007974668699425355,spread_decile,tcn,15,6.0
,0.0005433429172986801,spread_decile,tcn,15,7.0
,0.004839580857729286,spread_decile,tcn,15,8.0
,0.18012950666739835,spread_decile,tcn,15,9.0
0.0,0.04826418289585097,edge_decile,ridge,30,
1.0,0.0403865623561896,edge_decile,ridge,30,
2.0,0.03289461573861022,edge_decile,ridge,30,
3.0,0.03044638748274275,edge_decile,ridge,30,
4.0,0.024647952139898757,edge_decile,ridge,30,
5.0,0.019199263690750114,edge_decile,ridge,30,
6.0,0.01387942936033134,edge_decile,ridge,30,
7.0,0.009240681086056144,edge_decile,ridge,30,
8.0,0.0049516797054763,edge_decile,ridge,30,
9.0,0.0018775885872066268,edge_decile,ridge,30,
,0.0010048965870057735,spread_decile,ridge,30,0.0
,0.00038757543879076466,spread_decile,ridge,30,1.0
,0.00036567750900480864,spread_decile,ridge,30,2.0
,0.0003538636321308178,spread_decile,ridge,30,3.0
,0.0013416734656876077,spread_decile,ridge,30,4.0
,0.000910974564161189,spread_decile,ridge,30,5.0
,0.000941034427655759,spread_decile,ridge,30,6.0
,0.0008413226374486402,spread_decile,ridge,30,7.0
,0.009199470671704851,spread_decile,ridge,30,8.0
,0.25421527575628655,spread_decile,ridge,30,9.0
0.0,0.03304280788915776,edge_decile,lgbm,30,
1.0,0.031951344868939524,edge_decile,lgbm,30,
2.0,0.03010964536577009,edge_decile,lgbm,30,
3.0,0.0306021929073154,edge_decile,lgbm,30,
4.0,0.02912455028267946,edge_decile,lgbm,30,
5.0,0.027753983210553366,edge_decile,lgbm,30,
6.0,0.02700445434298441,edge_decile,lgbm,30,
7.0,0.02586945348637999,edge_decile,lgbm,30,
8.0,0.019701901661812574,edge_decile,lgbm,30,
9.0,0.010000642439557145,edge_decile,lgbm,30,
,0.001099784273084895,spread_decile,lgbm,30,0.0
,0.00044328112466753916,spread_decile,lgbm,30,1.0
,0.00038800629432433014,spread_decile,lgbm,30,2.0
,0.0004996849812074996,spread_decile,lgbm,30,3.0
,0.0012190764445004938,spread_decile,lgbm,30,4.0
,0.0010759140096418447,spread_decile,lgbm,30,5.0
,0.0008913558738326277,spread_decile,lgbm,30,6.0
,0.0016640193631344074,spread_decile,lgbm,30,7.0
,0.015145767855207543,spread_decile,lgbm,30,8.0
,0.25582848091381655,spread_decile,lgbm,30,9.0
0.0,0.040075194394599674,edge_decile,tcn,30,
1.0,0.03770400751943946,edge_decile,tcn,30,
2.0,0.03153037682645476,edge_decile,tcn,30,
3.0,0.02794215034927688,edge_decile,tcn,30,
4.0,0.023647782619841066,edge_decile,tcn,30,
5.0,0.020763906690592155,edge_decile,tcn,30,
6.0,0.018115400226442504,edge_decile,tcn,30,
7.0,0.014547551909766726,edge_decile,tcn,30,
8.0,0.011428693497393831,edge_decile,tcn,30,
9.0,0.005190976672648039,edge_decile,tcn,30,
,0.001138663967611336,spread_decile,tcn,30,0.0
,0.00040419511987576317,spread_decile,tcn,30,1.0
,0.0004475512552747112,spread_decile,tcn,30,2.0
,0.0004160166406656266,spread_decile,tcn,30,3.0
,0.001522951522951523,spread_decile,tcn,30,4.0
,0.00107293787908647,spread_decile,tcn,30,5.0
,0.0011298987055721847,spread_decile,tcn,30,6.0
,0.0008234519104084321,spread_decile,tcn,30,7.0
,0.009567349346507641,spread_decile,tcn,30,8.0
,0.2542152386296967,spread_decile,tcn,30,9.0
0.0,0.08351381628080658,edge_decile,ridge,60,
1.0,0.06960418222554145,edge_decile,ridge,60,
2.0,0.056142643764002985,edge_decile,ridge,60,
3.0,0.0450336071695295,edge_decile,ridge,60,
4.0,0.034802091112770724,edge_decile,ridge,60,
5.0,0.022460791635548916,edge_decile,ridge,60,
6.0,0.01383495145631068,edge_decile,ridge,60,
7.0,0.0059932785660941,edge_decile,ridge,60,
8.0,0.0021284540702016432,edge_decile,ridge,60,
9.0,0.000970873786407767,edge_decile,ridge,60,
,0.0010631948071327315,spread_decile,ridge,60,0.0
,0.0003922594142259414,spread_decile,ridge,60,1.0
,0.0005599626691553896,spread_decile,ridge,60,2.0
,0.0009606318823048049,spread_decile,ridge,60,3.0
,0.001895345656336707,spread_decile,ridge,60,4.0
,0.0015907772350420152,spread_decile,ridge,60,5.0
,0.0014018934214853147,spread_decile,ridge,60,6.0
,0.002655356156327411,spread_decile,ridge,60,7.0
,0.02402451704700925,spread_decile,ridge,60,8.0
,0.35340302589210887,spread_decile,ridge,60,9.0
0.0,0.05004387981110786,edge_decile,lgbm,60,
1.0,0.04705685688613996,edge_decile,lgbm,60,
2.0,0.04375444021898115,edge_decile,lgbm,60,
3.0,0.048770294836701006,edge_decile,lgbm,60,
4.0,0.047557357181662416,edge_decile,lgbm,60,
5.0,0.04260609733163383,edge_decile,lgbm,60,
6.0,0.03671354242848486,edge_decile,lgbm,60,
7.0,0.029336787997826904,edge_decile,lgbm,60,
8.0,0.019767223185740854,edge_decile,lgbm,60,
9.0,0.005767060888461699,edge_decile,lgbm,60,
,0.001023669751603401,spread_decile,lgbm,60,0.0
,0.0003872650931474461,spread_decile,lgbm,60,1.0
,0.0005647117878356898,spread_decile,lgbm,60,2.0
,0.0008218831661468432,spread_decile,lgbm,60,3.0
,0.002216100905080463,spread_decile,lgbm,60,4.0
,0.0018350796187770082,spread_decile,lgbm,60,5.0
,0.0015322562473241849,spread_decile,lgbm,60,6.0
,0.002756201453269857,spread_decile,lgbm,60,7.0
,0.026820148391769934,spread_decile,lgbm,60,8.0
,0.36010256875737495,spread_decile,lgbm,60,9.0
0.0,0.059698409419541416,edge_decile,tcn,60,
1.0,0.05350244789192092,edge_decile,tcn,60,
2.0,0.0487296013220409,edge_decile,tcn,60,
3.0,0.04590055568179471,edge_decile,tcn,60,
4.0,0.03792604833712043,edge_decile,tcn,60,
5.0,0.029643248156334567,edge_decile,tcn,60,
6.0,0.02204135594620835,edge_decile,tcn,60,
7.0,0.01520347035736418,edge_decile,tcn,60,
8.0,0.008882645789006176,edge_decile,tcn,60,
9.0,0.003635612476761,edge_decile,tcn,60,
,0.0011495432618290054,spread_decile,tcn,60,0.0
,0.0003947395757588349,spread_decile,tcn,60,1.0
,0.0005948717948717949,spread_decile,tcn,60,2.0
,0.0005191353281973545,spread_decile,tcn,60,3.0
,0.0024204210312213973,spread_decile,tcn,60,4.0
,0.001539882968894364,spread_decile,tcn,60,5.0
,0.001394584018483442,spread_decile,tcn,60,6.0
,0.0019541189162782177,spread_decile,tcn,60,7.0
,0.021893374796704376,spread_decile,tcn,60,8.0
,0.3565710219330572,spread_decile,tcn,60,9.0
